Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Default choice,Enum,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Account_Management_ID,,Autonumber,,,Optional,TRUE,TRUE,,,,,,,,String prefixed number,osot-am,7,1,osot-am-0000001,osot_Account_Management_ID,osot_account_management_id,,,,,,850,Disabled,TRUE,TRUE
Table_Account_Management,Unique identifier for entity instances,Unique identifier,,,System required,TRUE,FALSE,,,,,,,,,,,,,osot_Table_Account_ManagementId,osot_table_account_managementid,,,,,,,,FALSE,FALSE
Table_Account,,Lookup,,,Optional,TRUE,TRUE,,Table_Account,,,,,,,,,,,osot_Table_Account,osot_table_account,osot_Account_to_Account_Management,,,,,,,FALSE,FALSE
User_Business_ID,,Single line of text,Text,Simple,Business requires,TRUE,TRUE,,,,,,,,,,,,,osot_User_Business_ID,osot_user_business_id,,,,,,20,Auto,TRUE,FALSE
Life_Member_Retired,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Life_Member_Retired,osot_life_member_retired,,,,,,,,TRUE,FALSE
Shadowing,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Shadowing,osot_shadowing,,,,,,,,TRUE,FALSE
Passed_Away,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Passed_Away,osot_passed_away,,,,,,,,TRUE,FALSE
Vendor,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Vendor,osot_vendor,,,,,,,,TRUE,FALSE
Advertising,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Advertising,osot_advertising,,,,,,,,TRUE,FALSE
Recruitment,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Recruitment,osot_recruitment,,,,,,,,TRUE,FALSE
Driver_Rehab,,Yes/No,,Simple,Optional,TRUE,TRUE,No = 0; Yes = 1,,,,,No,,,,,,,osot_Driver_Rehab,osot_driver_rehab,,,,,,,,TRUE,FALSE
Access_Modifiers,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Access_Modifiers,Protected,access-modifier.enum.ts,,,,,,osot_Access_Modifiers,osot_access_modifiers,,,,,,,,TRUE,FALSE
Privilege,,Choice,,Simple,Optional,TRUE,TRUE,,,FALSE,YES,Choices_Privilege,Owner,privilege.enum.ts,,,,,,osot_Privilege,osot_privilege,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Account_Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Account_Managements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Account_Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_account_management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
